Date,Close
2/19/2019,8.45
2/20/2019,7.86
2/21/2019,8.1
2/22/2019,9
2/25/2019,8.18
2/26/2019,8.65
2/27/2019,8.97
2/28/2019,8.95
3/1/2019,9.15
3/4/2019,8.16
3/5/2019,8.55
3/6/2019,8.61
3/7/2019,9
3/8/2019,8.43
3/11/2019,8.4
3/12/2019,8.51
3/13/2019,7.97
3/14/2019,7.73
3/15/2019,8.02
3/18/2019,7.7
3/19/2019,8.1
3/20/2019,8.15
3/21/2019,8.04
3/22/2019,7.63
3/25/2019,6.95
3/26/2019,6.56
3/27/2019,7
3/28/2019,7.51
3/29/2019,7.18
4/1/2019,7.39
4/2/2019,8.1
4/3/2019,8.89
4/4/2019,8.45
4/5/2019,9.73
4/8/2019,11.77
4/9/2019,12.2
4/10/2019,14.67
4/11/2019,13
4/12/2019,13.09
4/15/2019,13.53
4/16/2019,14.1
4/17/2019,12.99
4/18/2019,13.63
4/22/2019,14.37
4/23/2019,15.89
4/24/2019,15.5
4/25/2019,15.26
4/26/2019,14.5
4/29/2019,13.93
4/30/2019,14.74
5/1/2019,14.15
5/2/2019,14
5/3/2019,14.6
5/6/2019,14.98
5/7/2019,15.75
5/8/2019,15.88
5/9/2019,16.25
5/10/2019,16.77
5/13/2019,20.7
5/14/2019,21.4
5/15/2019,26.84
5/16/2019,27.2
5/17/2019,20.76
5/20/2019,23.55
5/21/2019,25.4
5/22/2019,23.63
5/23/2019,22.5
5/24/2019,25
5/28/2019,32.5
5/29/2019,36.08
5/30/2019,39.95
5/31/2019,43.06
6/3/2019,36.5
6/4/2019,32.31
6/5/2019,35.25
6/6/2019,29.95
6/7/2019,34.24
6/10/2019,34.7
6/11/2019,33.85
6/12/2019,37.99
6/13/2019,40.5
6/14/2019,42.15
6/17/2019,45.88
6/18/2019,41.29
6/19/2019,41.12
6/20/2019,36.88
6/21/2019,34
6/24/2019,23.7
6/25/2019,17.06
6/26/2019,21.9
6/27/2019,15.11
6/28/2019,16.89
7/1/2019,14.15
7/2/2019,15.69
7/3/2019,17.11
7/5/2019,17.3
7/8/2019,20.07
7/9/2019,22.01
7/10/2019,19.9
7/11/2019,18.82
7/12/2019,19.4
7/15/2019,17.09
7/16/2019,14.64
7/17/2019,15.6
7/18/2019,16.35
7/19/2019,15.22
7/22/2019,14.84
7/23/2019,14.2
7/24/2019,13.41
7/25/2019,13.56
7/26/2019,13.65
7/29/2019,14.06
7/30/2019,15
7/31/2019,15.85
8/1/2019,14.9
8/2/2019,14.8
8/5/2019,15.25
8/6/2019,14.51
8/7/2019,14.5
8/8/2019,14.02
8/9/2019,14.44
8/12/2019,13.99
8/13/2019,12.77
8/14/2019,11.28
8/15/2019,11.63
8/16/2019,12.22
8/19/2019,12.37
8/20/2019,12.4
8/21/2019,12.01
8/22/2019,13.03
8/23/2019,13.1
8/26/2019,12.52
8/27/2019,12
8/28/2019,11.55
8/29/2019,10.6
8/30/2019,10.9
9/3/2019,11.8
9/4/2019,12.14
9/5/2019,11.9
9/6/2019,11.72
9/9/2019,11.75
9/10/2019,11.07
9/11/2019,11.36
9/12/2019,12
9/13/2019,11.98
9/16/2019,12.05
9/17/2019,14.22
9/18/2019,14.4
9/19/2019,13.2
9/20/2019,12.3
9/23/2019,12
9/24/2019,11.16
9/25/2019,10.05
9/26/2019,9.55
9/27/2019,9.05
9/30/2019,8.9
10/1/2019,8.38
10/2/2019,8.65
10/3/2019,8.5
10/4/2019,8.6
10/7/2019,9.55
10/8/2019,9.48
10/9/2019,10.7
10/10/2019,9.91
10/11/2019,9.32
10/14/2019,9.5
10/15/2019,9.21
10/16/2019,8.75
10/17/2019,8.8
10/18/2019,8.52
10/21/2019,9.17
10/22/2019,9.1
10/23/2019,8.2
10/24/2019,8.79
10/25/2019,9.9
10/28/2019,9.66
10/29/2019,9.4
10/30/2019,9.29
10/31/2019,9.25
11/1/2019,9.69
11/4/2019,11.01
11/5/2019,10.7
11/6/2019,10.75
11/7/2019,10.94
11/8/2019,11.25
11/11/2019,10.8
11/12/2019,11.2
11/13/2019,10
11/14/2019,10.2
11/15/2019,9.65
11/18/2019,9.32
11/19/2019,9.45
11/20/2019,9.35
11/21/2019,9.45
11/22/2019,9.05
11/25/2019,9.1
11/26/2019,9.16
11/27/2019,9.5
11/29/2019,9.89
12/2/2019,9.3
12/3/2019,9.43
12/4/2019,9.11
12/5/2019,8.86
12/6/2019,9
12/9/2019,8.42
12/10/2019,8.31
12/11/2019,8.17
12/12/2019,8.15
12/13/2019,8.32
12/16/2019,8.05
12/17/2019,8
12/18/2019,8.23
12/19/2019,8.1
12/20/2019,8.02
12/23/2019,7.76
12/24/2019,7.8
12/26/2019,7.93
12/27/2019,7.4
12/30/2019,7.14
12/31/2019,7.15
1/2/2020,7.01
1/3/2020,7.27
1/6/2020,7.45
1/7/2020,8.3
1/8/2020,7.6
1/9/2020,7.61
1/10/2020,7.7
1/13/2020,7.76
1/14/2020,9.25
1/15/2020,10.1
1/16/2020,10.13
1/17/2020,12.12
1/21/2020,10.95
1/22/2020,11.4
1/23/2020,11
1/24/2020,11.5
1/27/2020,12.57
1/28/2020,13.88
1/29/2020,15.13
1/30/2020,14.47
1/31/2020,13.84
2/3/2020,14.45
2/4/2020,12.4
2/5/2020,15.14
2/6/2020,15.01
2/7/2020,15.75
2/10/2020,15.92
2/11/2020,17.7
2/12/2020,21.82
2/13/2020,19.86
2/14/2020,21.5
2/18/2020,21.85
