Date,Close
2/20/2020,18.9
2/21/2020,19.66
2/24/2020,19.5
2/25/2020,15.8
2/26/2020,15.25
2/27/2020,16.5
2/28/2020,13.85
3/2/2020,16
3/3/2020,15
3/4/2020,14.3
3/5/2020,15.58
3/6/2020,15.58
3/9/2020,11.2
3/10/2020,11.3
3/11/2020,10.3
3/12/2020,7.99
3/13/2020,8.75
3/16/2020,7.05
3/17/2020,8.04
3/18/2020,7.3
3/19/2020,8.32
3/20/2020,8.65
3/23/2020,9.48
3/24/2020,10.3
3/25/2020,9.4
3/26/2020,9.1
3/27/2020,8.52
3/30/2020,8.85
3/31/2020,8.36
4/1/2020,8.05
4/2/2020,8.74
4/3/2020,9.02
4/6/2020,11.2
4/7/2020,10.41
4/8/2020,11.45
4/9/2020,11
4/13/2020,10.35
4/14/2020,10.9
4/15/2020,10.73
4/16/2020,11.65
4/17/2020,11.3
