Date,BAC,GS,PYPL,V
2/19/2019,29.13,198.67,95.02,144.44
2/20/2019,29.41,198.6,94.73,144.73
2/21/2019,29.29,196.36,94.96,144
2/22/2019,29.08,196,95.98,145.87
2/25/2019,29.27,198.65,96.7,146.06
2/26/2019,29.29,198.9,96.59,147.04
2/27/2019,29.53,198.1,97.86,147.22
2/28/2019,29.08,196.7,98.07,148.12
3/1/2019,29.31,198.2,98.8,149.47
3/4/2019,29.03,195.98,96.57,147.96
3/5/2019,29.08,196,96.53,147.95
3/6/2019,28.84,194.74,96.46,147.81
3/7/2019,28.55,192.77,96.21,146.83
3/8/2019,28.65,195.24,95.69,147.35
3/11/2019,28.94,195.97,97.45,150.67
3/12/2019,28.94,196.63,97.5,151.73
3/13/2019,29.29,197.25,99.31,152.47
3/14/2019,29.46,197.47,99.03,154.2
3/15/2019,29.3,198.26,100.73,155.46
3/18/2019,29.82,202.47,100.27,154.96
3/19/2019,29.65,201.12,101.54,154.59
3/20/2019,28.64,194.32,102.31,153.75
3/21/2019,28.18,194.58,104.15,155.8
3/22/2019,27.01,188.96,101.27,153.07
3/25/2019,26.84,188.51,101.55,153.03
3/26/2019,27.21,190.69,103.15,155.3
3/27/2019,27.03,190.03,103.07,154.22
3/28/2019,27.33,191.18,103.86,154.67
3/29/2019,27.59,191.99,103.84,156.19
4/1/2019,28.54,196.74,105.55,157.26
4/2/2019,28.87,197.5,105.23,157.78
4/3/2019,28.84,200.86,104.69,158.46
4/4/2019,29.15,202.23,104.46,157.64
4/5/2019,29.08,202.38,105.73,157.65
4/8/2019,29.17,202.54,106.57,157.75
4/9/2019,28.89,200.62,106.93,157.49
4/10/2019,29.07,202.98,107.51,158.56
4/11/2019,29.07,202.83,106.46,157.86
4/12/2019,30.17,207.84,108.48,159.64
4/15/2019,29.84,199.91,108.14,160.44
4/16/2019,29.88,201.84,108.2,160.23
4/17/2019,30.03,207.9,108.81,160.44
4/18/2019,30.03,205.91,107.36,160.16
4/22/2019,30.05,204.6,106.81,160.4
4/23/2019,30.07,204.14,106.9,161.66
4/24/2019,30.02,200.54,107.22,161.49
4/25/2019,30.08,201.4,110.22,161.02
4/26/2019,30.35,203.08,110.56,162.93
4/29/2019,30.77,206.92,112.44,164.15
4/30/2019,30.58,205.92,112.77,164.43
5/1/2019,30.26,204.73,110.94,162.79
5/2/2019,30.5,204.99,109.7,161.12
5/3/2019,30.71,207.52,111.96,162.04
5/6/2019,30.47,206.43,110.85,162.28
5/7/2019,29.92,202.63,108.95,160.21
5/8/2019,29.8,200.95,109.07,160.76
5/9/2019,29.71,201.63,109.73,159.81
5/10/2019,29.58,202.05,110.41,160.71
5/13/2019,28.25,194.97,106.83,157.33
5/14/2019,28.62,196.28,109.09,160.21
5/15/2019,28.29,196.4,111.5,162.79
5/16/2019,28.59,199.14,113.87,164.87
5/17/2019,28.4,197.43,112.8,164.09
5/20/2019,28.4,197.24,112.15,163.47
5/21/2019,28.69,199.11,112.43,163.86
5/22/2019,28.49,195.52,112.47,164.24
5/23/2019,27.76,191.97,109.9,161.51
5/24/2019,28.18,193,109.85,162.64
5/28/2019,27.9,189.44,111.74,163.71
5/29/2019,27.75,188.05,110.08,162.73
5/30/2019,27.16,187.37,111.41,162.76
5/31/2019,26.6,182.49,109.75,161.33
6/3/2019,26.68,183.19,105.52,158.6
6/4/2019,27.92,189.88,108.73,162.33
6/5/2019,27.91,188.44,110.77,165.39
6/6/2019,27.88,189.81,111.78,166.92
6/7/2019,27.53,189.81,114.02,170.05
6/10/2019,28.07,194.12,115.62,170.82
6/11/2019,28.24,194.73,114.6,170.31
6/12/2019,27.95,190.22,114.5,171.59
6/13/2019,27.94,191.45,115.72,169.35
6/14/2019,28.04,191.66,116.17,169.66
6/17/2019,27.93,190.83,117.16,169.56
6/18/2019,28.62,194.98,115.98,169.28
6/19/2019,28.32,195.64,117.14,170.69
6/20/2019,28.27,195.7,118.79,173.74
6/21/2019,28.12,195.94,116.21,173.44
6/24/2019,27.98,197.49,116.5,173.85
6/25/2019,27.76,196.06,114.44,171.28
6/26/2019,27.91,197.01,114.15,171.06
6/27/2019,28.21,199.32,113.67,171.23
6/28/2019,29,204.6,114.46,173.55
7/1/2019,29.42,206.86,115.03,173.94
7/2/2019,29.15,205.98,116.17,175.28
7/3/2019,29.05,206.04,117.68,176.87
7/5/2019,29.26,207.9,117.16,176.66
7/8/2019,29.2,205.75,116.95,176.19
7/9/2019,29.35,207.77,118.37,177.73
7/10/2019,29.02,205.97,119.64,179.31
7/11/2019,29.36,211.35,120.65,180.74
7/12/2019,29.45,213.94,120.12,180.33
7/15/2019,29.22,211.58,120.9,180.57
7/16/2019,28.99,215.52,119.71,179.31
7/17/2019,29.19,213.3,118.81,179.15
7/18/2019,29.48,214.52,119.87,180.53
7/19/2019,29.4,213.52,118.63,179.24
7/22/2019,29.57,214,118.69,180.57
7/23/2019,30.25,219.43,120.22,180.9
7/24/2019,30.67,222.03,121.3,183.33
7/25/2019,30.34,219.98,115.12,181.59
7/26/2019,30.77,222.14,115.49,183.69
7/29/2019,30.52,220.32,111.45,183.21
7/30/2019,30.89,221.4,112.04,181.53
7/31/2019,30.68,220.13,110.4,178
8/1/2019,29.49,211.6,110.8,179.17
8/2/2019,29.38,209.37,107.09,177.42
8/5/2019,28.08,201.68,103.6,168.86
8/6/2019,28.42,206.01,105.03,172.48
8/7/2019,27.89,205.74,106.63,175.32
8/8/2019,28.38,207,106.79,179.9
8/9/2019,28.33,206.9,104.82,179.05
8/12/2019,27.64,201.52,102.72,176.34
8/13/2019,27.72,204.11,106.04,176.34
8/14/2019,26.42,195.56,103.27,173.51
8/15/2019,26.25,196.18,104.95,176.27
8/16/2019,27.03,199.42,106.16,178.23
8/19/2019,27.27,202.2,107.67,179.74
8/20/2019,26.72,199.98,107.37,179.24
8/21/2019,26.93,200.68,109.82,180.94
8/22/2019,27.19,202.42,108.77,180.09
8/23/2019,26.47,196.2,106.04,175.23
8/26/2019,26.78,199.65,107.66,177.59
8/27/2019,26.47,198.07,107.45,178.38
8/28/2019,26.85,200.42,107.47,178.67
8/29/2019,27.33,203.44,109.21,181.17
8/30/2019,27.51,203.91,109.05,180.82
9/3/2019,27.05,198.97,106.75,179.2
9/4/2019,27.49,201.73,108.73,181.77
9/5/2019,28.12,207.05,111.46,184.73
9/6/2019,27.73,207.21,110.05,185.74
9/9/2019,28.63,211.98,105.43,181.55
9/10/2019,29.35,215.63,103.05,176.35
9/11/2019,29.46,216.8,104.02,174.98
9/12/2019,29.67,218.74,107.1,177.98
9/13/2019,30.17,219.9,107,177.27
9/16/2019,30.13,217.22,106.52,176.11
9/17/2019,29.94,215.91,107.5,176.45
9/18/2019,30,217.08,105.6,175.29
9/19/2019,29.82,215.23,106.12,175.96
9/20/2019,29.59,213.74,104.64,174.06
9/23/2019,29.52,213.46,105.11,174.91
9/24/2019,28.94,207.75,103.69,174.48
9/25/2019,29.25,210.03,104.14,175.28
9/26/2019,29.13,208.22,104.55,175.65
9/27/2019,29.35,208.97,102.2,174
9/30/2019,29.17,207.23,103.59,172.01
10/1/2019,28.44,202.69,102.53,174.29
10/2/2019,27.84,198.25,99.73,169.83
10/3/2019,27.81,197.24,101.03,172.87
10/4/2019,28.37,200.8,102.79,175.98
10/7/2019,28.31,200.4,101.62,174.9
10/8/2019,27.63,197.37,99.33,172.42
10/9/2019,27.89,196.85,99.89,174.88
10/10/2019,28.45,199.87,100.54,174.88
10/11/2019,28.91,204.68,101.58,177.06
10/14/2019,29.14,205.82,101.75,177.36
10/15/2019,29.73,206.46,103.59,178.75
10/16/2019,30.17,207.42,103.09,177.87
10/17/2019,30.26,206.46,103.63,177.94
10/18/2019,30.35,206.52,101.22,175.71
10/21/2019,31.02,209.25,101.44,176.43
10/22/2019,31.2,209.6,97.36,170.86
10/23/2019,31.42,211.32,96.64,171.32
10/24/2019,31.36,211.05,104.91,176.16
10/25/2019,31.72,214.23,107.19,177.85
10/28/2019,31.84,217.75,106.6,179.84
10/29/2019,32.07,217.64,105,177.63
10/30/2019,31.62,215.81,106.5,179.25
10/31/2019,31.27,213.38,104.1,178.86
11/1/2019,31.8,217.39,104.98,180.93
11/4/2019,32.4,219.87,102.81,178.95
11/5/2019,32.82,218.64,100.99,176.37
11/6/2019,32.79,218.42,100.63,176.77
11/7/2019,33.23,223.29,100.47,178.43
11/8/2019,33.26,222.91,101.42,178.97
11/11/2019,33.18,219.03,102.67,179.54
11/12/2019,33.09,220.41,102.03,179.74
11/13/2019,32.79,219.32,102.12,179.41
11/14/2019,32.7,219.43,103.73,179.75
11/15/2019,32.93,220.25,104.2,179.77
11/18/2019,32.96,219.73,103.66,179.66
11/19/2019,32.94,220.04,104.95,182.77
11/20/2019,32.69,217.91,104.09,181.66
11/21/2019,32.84,218.23,102.55,179.89
11/22/2019,33.18,220.28,101.77,179.47
11/25/2019,33.47,222.75,104.45,180.97
11/26/2019,33.35,222.45,106.2,182.55
11/27/2019,33.42,222.95,107.75,184.37
11/29/2019,33.32,221.35,108.01,184.51
12/2/2019,33.43,217.64,106.21,181.79
12/3/2019,32.84,212.24,105.59,181.9
12/4/2019,33.15,215.94,105,180.6
12/5/2019,33.09,217.14,104.59,181.89
12/6/2019,33.67,224.61,104.34,182.17
12/9/2019,33.51,221.81,103.78,182.92
12/10/2019,33.53,221.88,103.62,182.26
12/11/2019,33.64,221.19,105.51,182.01
12/12/2019,34.68,226.05,105.67,182.64
12/13/2019,34.44,225,107.65,185.14
12/16/2019,34.7,228.04,109.57,186.24
12/17/2019,35.04,231.15,108.46,185.52
12/18/2019,35.11,230.45,107.83,184.9
12/19/2019,34.95,229.94,108.88,186.54
12/20/2019,34.96,228.93,108.75,188
12/23/2019,35.17,229.09,108.61,187.08
12/24/2019,35.22,229.91,108.69,187.57
12/26/2019,35.52,231.21,109.75,189.16
12/27/2019,35.35,230.66,109.4,189.39
12/30/2019,35.15,229.8,107.97,187.83
12/31/2019,35.22,229.93,108.17,187.9
1/2/2020,35.64,234.32,110.75,191.12
1/3/2020,34.9,231.58,108.76,189.6
1/6/2020,34.85,233.95,110.17,189.19
1/7/2020,34.62,235.49,109.67,188.69
1/8/2020,34.97,237.76,111.82,191.92
1/9/2020,35.03,242.6,112.57,193.25
1/10/2020,34.74,242.11,112.93,193.77
1/13/2020,35.06,245.21,115.28,195.33
1/14/2020,35.32,245.66,114.64,196.05
1/15/2020,34.67,245.21,114.85,199.8
1/16/2020,34.72,249.72,115.4,200.95
1/17/2020,34.71,249.46,116.04,204.7
1/21/2020,34.26,245.7,116.15,207.29
1/22/2020,34.36,247.05,115.5,207.9
1/23/2020,34.12,245.58,117.89,206.52
1/24/2020,33.54,241.92,116.98,205
1/27/2020,32.85,238.14,115.24,201.69
1/28/2020,33.24,242.58,116.52,202.85
1/29/2020,33.01,240.12,116.66,204.86
1/30/2020,33.48,244.13,117.12,208.21
1/31/2020,32.83,237.75,113.89,198.97
2/3/2020,32.97,239.01,116.51,200.81
2/4/2020,33.62,241.94,120.08,203.56
2/5/2020,34.71,244.3,119.72,202.81
2/6/2020,34.67,241.82,119.89,203.04
2/7/2020,34.61,238,118.88,202.74
2/10/2020,34.69,237.36,120.06,205.99
2/11/2020,34.77,236.46,118.84,203.94
2/12/2020,34.92,238.65,118.56,207.44
2/13/2020,34.91,238.35,120.51,207.4
2/14/2020,34.85,237.08,122.99,210.29
2/18/2020,34.27,233.21,122.27,211.2
2/19/2020,34.72,237.33,123.91,213.31
2/20/2020,34.85,232.73,122.43,211.45
2/21/2020,34.36,230.62,119.49,208.81
2/24/2020,32.73,224.54,116.44,198.79
2/25/2020,31.08,217.61,109.66,188.4
2/26/2020,30.63,215.78,109.11,187.21
2/27/2020,29.13,205.69,107.84,180.01
2/28/2020,28.5,200.77,107.99,181.76
3/2/2020,29.37,209.47,112.86,192.33
3/3/2020,27.75,203.43,109.76,185.73
3/4/2020,28.39,208.74,115.3,194.29
3/5/2020,26.78,198.79,112.18,186.96
3/6/2020,25.71,192.85,110.89,184.36
3/9/2020,21.93,172.81,101.63,171.13
3/10/2020,23.61,184.35,109.74,182.6
3/11/2020,22.67,171.89,103.9,172.95
3/12/2020,20.51,150.68,96.96,160.08
3/13/2020,24.16,177.17,110.15,175.83
3/16/2020,20.44,154.66,92.72,152.01
3/17/2020,21.98,158.67,97.87,157.89
3/18/2020,20.79,140.02,91.46,148.48
3/19/2020,21.2,149.49,93.69,152.25
3/20/2020,19.67,138.41,86.68,146.83
3/23/2020,18.08,134.97,85.26,135.74
3/24/2020,21.03,153.6,97.29,154.53
3/25/2020,21.1,155.13,95.71,161.78
3/26/2020,22.72,165.79,100.63,168.88
3/27/2020,21.6,158.34,93.48,161.56
3/30/2020,22.04,159.62,97.03,165.57
3/31/2020,21.23,154.59,95.74,161.12
4/1/2020,19.77,145.29,91.38,153.11
4/2/2020,20.57,149.93,93.52,157.39
