Date,ABT,JNJ,MRK,PFE
2/19/2019,75,135.69,79.24,42.6
2/20/2019,75.54,136.35,79.43,42.2
2/21/2019,75.14,135.42,79.83,42.14
2/22/2019,76.13,136.6,80.77,42.96
2/25/2019,76.86,136.2,80.38,43.08
2/26/2019,76.75,136.11,80.74,43.02
2/27/2019,77.23,135.87,80.62,42.93
2/28/2019,77.62,136.64,81.29,43.35
3/1/2019,78.59,138.35,81.65,43.36
3/4/2019,78.62,138.48,81.37,43.07
3/5/2019,78.22,138.77,81.7,42.89
3/6/2019,77.7,139.09,80.76,41.86
3/7/2019,76.8,138.24,80.45,41.39
3/8/2019,76.63,138.06,79.8,40.89
3/11/2019,77.81,138.56,80.87,41.5
3/12/2019,78.24,139.18,81.23,41.73
3/13/2019,78.62,139.41,81.6,42.01
3/14/2019,78.98,138.02,81.49,41.19
3/15/2019,79.86,137.6,81.57,41.78
3/18/2019,78.83,137.17,81.35,41.81
3/19/2019,79.96,138.44,81.91,42.3
3/20/2019,79.94,137.29,82.08,42.17
3/21/2019,80.06,138.1,82.95,42.35
3/22/2019,77.97,136.91,82.29,41.85
3/25/2019,78.23,136.61,82.35,41.89
3/26/2019,79,138.57,82.92,42.42
3/27/2019,78.73,138.7,82.29,42.02
3/28/2019,79.44,138.88,82.63,42.29
3/29/2019,79.94,139.79,83.17,42.47
4/1/2019,79.66,138.98,83.3,42.84
4/2/2019,79.62,137.71,83.21,42.91
4/3/2019,79.5,137.17,83.18,42.84
4/4/2019,78.62,135.57,81.85,42.74
4/5/2019,79,136.18,81.15,42.99
4/8/2019,78.52,136.14,80.95,43.14
4/9/2019,78.67,135.57,80.8,42.84
4/10/2019,78.97,135.58,80.82,42.73
4/11/2019,78.51,135.21,79.84,42.27
4/12/2019,78.01,135.98,79.43,41.71
4/15/2019,77.5,136.52,78.53,42.09
4/16/2019,76.38,138.02,77.56,40.92
4/17/2019,72.88,138.52,73.92,39.88
4/18/2019,73.92,137.52,73.19,39.38
4/22/2019,74.51,137.83,73.46,38.98
4/23/2019,76.1,139.9,74.6,39.42
4/24/2019,76.75,139.2,74.73,39.37
4/25/2019,78.11,139.65,76.34,39.61
4/26/2019,78.56,140.39,76.63,39.97
4/29/2019,78.27,139.84,76.78,39.59
4/30/2019,79.56,141.2,78.71,40.61
5/1/2019,78.74,141.95,78.72,40.77
5/2/2019,78.78,141.28,79.52,41.01
5/3/2019,78.69,142.01,80,41.39
5/6/2019,79.07,142.09,79.48,41.65
5/7/2019,76.91,139.97,77.9,40.83
5/8/2019,76.22,139.79,78.18,40.95
5/9/2019,76.42,138.73,78.33,40.64
5/10/2019,76.45,139.05,78.19,40.72
5/13/2019,75.5,137.2,77.17,40.57
5/14/2019,76.03,136.82,77.42,40.66
5/15/2019,76.51,136.91,77.55,41.15
5/16/2019,76.6,138.21,79.13,41.64
5/17/2019,75.97,138.61,78.72,41.47
5/20/2019,75.77,138.42,78.88,41.59
5/21/2019,76.03,138.12,79.5,41.67
5/22/2019,76.26,138.76,80.98,41.99
5/23/2019,75.63,139.79,81.02,41.92
5/24/2019,76.98,138.85,81.17,41.95
5/28/2019,75.71,137.07,80.26,41.9
5/29/2019,75.67,131.33,79.36,41.72
5/30/2019,76.52,132.11,79.68,41.9
5/31/2019,76.13,131.15,79.21,41.52
6/3/2019,75.71,131.44,80.26,41.92
6/4/2019,77.46,133.73,81.08,42.23
6/5/2019,78.69,134.38,81.69,42.48
6/6/2019,80.09,136.68,81.44,42.71
6/7/2019,80.74,138.55,82.46,42.92
6/10/2019,81.27,139.02,82.48,43.07
6/11/2019,81.12,139.78,82.98,42.67
6/12/2019,81.95,141.68,83.71,43.08
6/13/2019,82.29,140.71,82.9,42.5
6/14/2019,82.22,140.09,82.78,42.76
6/17/2019,82.05,139.44,83.3,42.88
6/18/2019,83.42,140.23,84.49,43.07
6/19/2019,84.33,140.45,85.36,43.5
6/20/2019,84.94,142.21,84.6,43.6
6/21/2019,85,142.09,84.57,43.67
6/24/2019,84.71,143.06,85.51,43.76
6/25/2019,84.24,144.24,85.24,43.76
6/26/2019,82.96,141.85,83.54,42.99
6/27/2019,83.69,140.69,83.83,43.43
6/28/2019,84.1,139.28,83.85,43.32
