Date,CHTR,CMCSA,T,VZ
2/19/2019,348.43,37.55,30.63,55.44
2/20/2019,349.76,37.79,30.85,55.76
2/21/2019,349.54,38.47,30.83,56.15
2/22/2019,350.08,38.61,31.15,56.92
2/25/2019,348.9,38.57,31.13,56.78
2/26/2019,346.32,38.8,31.22,56.64
2/27/2019,345.03,38.53,31.06,56.72
2/28/2019,344.91,38.67,31.12,56.92
3/1/2019,346.58,39.1,30.82,56.96
3/4/2019,346.1,38.73,29.98,56.24
3/5/2019,343.75,38.72,29.95,56.08
3/6/2019,340.56,38.61,29.81,55.68
3/7/2019,340.03,38.38,29.92,56.3
3/8/2019,337.54,38.19,29.96,56.53
3/11/2019,341.08,39.17,30.22,57.58
3/12/2019,342.51,39.49,30.63,57.43
3/13/2019,348.13,39.56,30.28,57.66
3/14/2019,352.71,39.87,30.28,57.95
3/15/2019,355.92,40.47,30.67,58.39
3/18/2019,357.35,39.92,30.8,58.07
3/19/2019,360.45,39.78,30.68,57.5
3/20/2019,362.44,39.47,30.51,57.67
3/21/2019,366.27,40.05,31.06,58.29
3/22/2019,360.78,39.46,31.07,59.76
3/25/2019,356.84,39.18,30.77,60.08
3/26/2019,356.03,39.63,31.39,60.63
3/27/2019,355.51,40.21,31.4,60.88
3/28/2019,352.87,40.42,31.01,59.08
3/29/2019,346.91,39.98,31.36,59.13
4/1/2019,346.22,40.31,31.95,59.09
4/2/2019,346.63,40.02,31.63,58.53
4/3/2019,345.37,40.27,31.87,58.87
4/4/2019,345.72,40.41,31.98,58.99
4/5/2019,351.44,40.42,32.35,59.09
4/8/2019,354.14,40.71,32.39,59.13
4/9/2019,354.56,41.04,31.75,58.4
4/10/2019,354.35,41.08,31.88,58.61
4/11/2019,355.25,41.04,32.2,58.56
4/12/2019,356.05,41.3,32.2,58.74
4/15/2019,357.34,41.78,32.02,58.71
4/16/2019,358.05,41.97,32.25,58.79
4/17/2019,361.69,42.57,31.95,57.78
4/18/2019,359.37,42.43,32.03,58.04
4/22/2019,358.05,42,32.08,58.37
4/23/2019,358.63,41.99,32.1,57.15
4/24/2019,360.5,41.85,30.79,57.08
4/25/2019,366.76,42.93,30.34,55.85
4/26/2019,370.15,43.08,30.68,56.58
4/29/2019,370.97,43.45,30.88,56.84
4/30/2019,371.19,43.53,30.96,57.19
5/1/2019,371.04,43.42,30.79,56.52
5/2/2019,370.41,42.65,30.62,56.99
5/3/2019,377.68,43.29,30.7,57.24
5/6/2019,376.28,43.3,30.59,56.91
5/7/2019,374.74,42.76,30.53,56.63
5/8/2019,372.32,42.55,30.3,56.38
5/9/2019,374.33,42.92,30.38,56.48
5/10/2019,377.89,43.15,30.62,56.91
5/13/2019,368.89,42.28,30.47,56.75
5/14/2019,373.15,42.91,31.09,56.55
5/15/2019,377.19,42.49,31.25,56.81
5/16/2019,382.19,43.19,31.62,57.38
5/17/2019,386.41,43.54,31.8,58.09
5/20/2019,377.29,42.78,32.19,59.01
5/21/2019,379.21,43.29,32.41,59.5
5/22/2019,378.08,43.3,32.28,59.25
5/23/2019,375.51,42.73,32.14,58.87
5/24/2019,375,42.67,32.27,59.32
5/28/2019,377,42.47,31.93,58.73
5/29/2019,375.37,41.92,31.91,58.18
5/30/2019,379.22,41.74,31.86,56.83
5/31/2019,376.8,41,30.58,54.35
6/3/2019,377.65,40.96,31.09,56.38
6/4/2019,387.67,41.4,31.48,56.22
6/5/2019,384.96,41.3,31.68,57.03
6/6/2019,387.31,41.15,32.1,57.54
6/7/2019,394.04,41.48,32.49,57.24
6/10/2019,395.41,41.29,31.93,56.15
6/11/2019,391.64,41.22,32.11,56.83
6/12/2019,391.16,41.45,32.18,57.36
6/13/2019,389.72,41.69,32.29,57.62
6/14/2019,392.08,42.31,32.35,58.28
6/17/2019,394.07,42.56,32.3,57.63
6/18/2019,395.21,43.25,32.44,57.33
6/19/2019,397.75,43.14,32.41,57.63
6/20/2019,398.77,43.68,32.54,57.34
6/21/2019,394.69,43.56,32.45,57.77
6/24/2019,392.44,43.6,32.58,58.27
6/25/2019,390.91,42.75,32.55,58
6/26/2019,388.24,42.11,32.53,56.99
6/27/2019,391.41,42,32.98,57.25
6/28/2019,395.18,42.28,33.51,57.13
7/1/2019,397.74,42.71,33.43,56.66
7/2/2019,398.69,42.89,33.84,58.13
7/3/2019,400,43.32,33.98,58.13
7/5/2019,401.68,43.28,34.3,58.31
7/8/2019,399.4,42.63,34.25,57.89
7/9/2019,401.22,42.98,33.54,56.41
7/10/2019,407.21,43.79,33.76,57
7/11/2019,410.25,44.08,33.46,56.92
7/12/2019,414.31,44.64,33.65,57.19
7/15/2019,414.63,44.72,33.71,57.58
7/16/2019,414.84,45.09,33.58,57.41
