Date,ADM,CAG,HRL,TSN
2/19/2019,41.85,24.01,43.3,62.94
2/20/2019,41.97,24.03,43.13,63.6
2/21/2019,42.57,24.07,41.99,63.06
2/22/2019,42.49,23.38,42.91,63.32
2/25/2019,42.43,23.31,42.53,62.32
2/26/2019,42.32,23.36,42.17,61.77
2/27/2019,42.62,23.09,42.91,61.65
2/28/2019,42.5,23.37,43.36,61.66
3/1/2019,42.43,23.26,43.39,62.19
3/4/2019,42.24,23.17,43.02,62.26
3/5/2019,42.25,22.87,43.49,63.97
3/6/2019,42.13,22.89,43.47,63.54
3/7/2019,42.17,22.37,43.44,64.11
3/8/2019,41.92,22.47,42.99,62.78
3/11/2019,42.84,22.9,42.95,64.22
3/12/2019,42.91,22.79,42.41,63.81
3/13/2019,43.27,23.04,42.79,64.44
3/14/2019,43.35,23.09,42.7,64.88
3/15/2019,43.18,23.09,42.56,65.22
3/18/2019,42.48,23.07,42.55,65.33
3/19/2019,43.01,22.81,42.52,65.77
3/20/2019,42.3,22.9,42.3,64.88
3/21/2019,42.88,25.82,43.11,66.52
3/22/2019,42.62,26.45,43.59,66.61
3/25/2019,42.35,27.36,44.07,67.46
3/26/2019,42.29,27.12,44.38,67.85
3/27/2019,42.49,27.12,43.95,68
3/28/2019,42.72,27.74,44.41,68.89
3/29/2019,43.13,27.74,44.76,69.43
4/1/2019,42.68,27.63,43.78,69.7
4/2/2019,42.26,27.39,43.08,69.26
4/3/2019,42.22,27.47,41.93,68.93
4/4/2019,42.73,27.79,41.58,70.03
4/5/2019,42.93,28.29,41.93,69.8
4/8/2019,43.09,28.3,42.32,70.44
4/9/2019,42.78,27.54,41.75,69.57
4/10/2019,43.24,29.39,41.75,70.65
4/11/2019,43.29,29.78,41.56,71.17
4/12/2019,43.38,29.75,41.15,70.84
4/15/2019,43.34,30.08,41.1,71.41
4/16/2019,42.98,30.09,40.78,72.06
4/17/2019,43.04,30.12,40.72,73.28
4/18/2019,42.76,30.52,40.39,73.49
4/22/2019,42.66,30.88,40.43,72.85
4/23/2019,42.7,30.89,39.24,74.45
4/24/2019,42.78,31.28,39.81,73.76
4/25/2019,41.72,30.95,39.66,73.62
4/26/2019,40.91,30.99,39.94,74.16
4/29/2019,43.27,30.36,39.49,74.2
4/30/2019,44.6,30.78,39.94,75.01
5/1/2019,44.07,30.14,39.05,74.8
5/2/2019,43.54,29.95,39.7,75.12
5/3/2019,43.67,30.01,39.68,75.09
5/6/2019,43.09,29.8,39.4,77.05
5/7/2019,42.71,29.2,38.8,76.85
5/8/2019,42.42,29.59,39.33,77.49
5/9/2019,42.56,29.23,39.51,77.94
5/10/2019,42.43,28.72,39.86,79.81
5/13/2019,40.69,28.11,39.58,79.57
5/14/2019,40.85,28.6,39.41,81.57
5/15/2019,40.98,29,39.56,82.24
5/16/2019,41.26,29.1,39.82,82.6
5/17/2019,40.68,29.08,39.79,82.49
5/20/2019,39.82,28.48,39.72,81.87
5/21/2019,40.18,28.56,39.82,80.61
5/22/2019,39.92,28.45,39.49,81.26
5/23/2019,39.21,28.89,39.13,81.71
5/24/2019,39.16,28.83,40.27,81.46
5/28/2019,38.58,28.46,38.86,80.31
5/29/2019,38.54,27.25,39.22,76.28
5/30/2019,38.46,26.86,39.62,76.74
5/31/2019,38.32,26.77,39.49,75.89
6/3/2019,38.98,27.52,40.42,78.06
6/4/2019,39.63,28.62,40.35,79.33
6/5/2019,39.27,29.25,41.42,80.61
6/6/2019,39.71,29.65,41.49,81.8
6/7/2019,39.58,29.63,42.05,82.45
6/10/2019,40.06,29.35,41.47,82.49
6/11/2019,40.17,29.8,41.84,82.31
6/12/2019,40.72,29.55,41.55,81.89
6/13/2019,41.01,29.8,41.75,82.53
6/14/2019,40.79,29.88,41.43,81.91
6/17/2019,40.74,29.34,40.96,78.53
6/18/2019,41.2,28.98,40.87,77.18
6/19/2019,40.71,29.24,41.18,77.76
6/20/2019,41.3,29.2,41.56,78.63
6/21/2019,41.08,28.72,41.41,79.29
6/24/2019,40.73,28.1,42.14,80.82
6/25/2019,40.42,28.89,40.5,79.97
6/26/2019,40.5,28.93,40.13,79.52
6/27/2019,40.57,25.43,40.27,79.65
6/28/2019,40.8,26.52,40.54,80.74
7/1/2019,41.4,26.9,40.91,80.96
7/2/2019,41.49,26.67,41.2,81.28
7/3/2019,41.87,28.26,41.77,82.16
7/5/2019,41.94,28.06,41.5,82.63
7/8/2019,41.84,28.47,41.37,81.92
7/9/2019,41.77,28,41.18,82.15
7/10/2019,41.8,28.34,41.3,82.03
7/11/2019,41.73,27.48,41.22,81.43
7/12/2019,41.92,27.61,41.01,81.38
7/15/2019,41.74,27.52,41.24,81.75
7/16/2019,40.82,28.14,41.23,79.13
7/17/2019,40.31,28.96,41.2,79.14
7/18/2019,40.16,29.11,41.79,80.96
7/19/2019,40.25,28.9,41.26,80.8
7/22/2019,40.38,28.25,41.36,81.33
7/23/2019,40.54,29.2,41.15,82.03
7/24/2019,40.57,28.63,40.41,81.04
7/25/2019,40.68,28.54,40.83,81.67
7/26/2019,40.59,29.16,41.38,80.98
7/29/2019,40.9,29.02,41.44,81.25
7/30/2019,40.95,29.1,41.63,81.33
7/31/2019,41.08,28.87,40.99,79.5
8/1/2019,41.15,29.14,41.23,80.39
8/2/2019,40.07,28.27,41.36,79.76
8/5/2019,37.78,28,40.73,83.83
8/6/2019,37.42,27.64,40.52,85.02
8/7/2019,37.28,27.97,40.89,86.21
8/8/2019,38.3,28.2,41.78,88.7
8/9/2019,38.36,28.65,41.71,88.37
8/12/2019,37.4,28.68,41.83,88.51
8/13/2019,37.76,28.91,41.79,87.82
8/14/2019,36.77,28.1,40.69,85.76
8/15/2019,36.76,28.85,41.39,87.86
8/16/2019,37.84,29.47,41.45,87.7
8/19/2019,38.03,30.04,41.21,87.47
8/20/2019,37.48,28.68,40.9,88.24
8/21/2019,37.69,28.4,40.97,89.79
8/22/2019,37.93,28.8,42.95,91.66
8/23/2019,37.43,27.93,42,89.93
8/26/2019,37.81,28.61,42.63,91.44
8/27/2019,37.42,27.91,42.41,89.97
8/28/2019,37.57,28.45,42.3,90.58
8/29/2019,37.73,28.59,42.45,91.72
8/30/2019,38.05,28.36,42.61,93.04
9/3/2019,37.99,28.5,42.84,93.29
9/4/2019,38.24,28.89,42.53,86.06
9/5/2019,38.63,28.45,42.55,85.26
9/6/2019,38.71,28.66,42.6,86.04
9/9/2019,39.67,29.11,42.91,83.56
9/10/2019,40.29,29.45,43.67,81.46
9/11/2019,41.05,29.5,44.54,82.32
9/12/2019,41.45,29.76,44,83.47
